Gm#,Date,Season,Tm,,Opp,W/L,R,RA,W-L,Rank,GB,Time,D/N,Attendance
1,Sunday Apr 5,2015,CHC,,STL,L,0,3,0-1,5,1,3:04,N,35055
2,Wednesday Apr 8,2015,CHC,,STL,W,2,0,1-Jan,2,1,2:23,D,26814
3,Friday Apr 10,2015,CHC,@,COL,L,1,5,2-Jan,2,2.5,3:01,D,49303
4,Saturday Apr 11,2015,CHC,@,COL,W,9,5,2-Feb,2,1.5,3:19,N,43812
5,Sunday Apr 12,2015,CHC,@,COL,W,6,5,2-Mar,2,0.5,3:05,D,41363
6,Monday Apr 13,2015,CHC,,CIN,W-wo,7,6,2-Apr,1,up 0.5,3:02,N,26390
7,Tuesday Apr 14,2015,CHC,,CIN,L,2,3,3-Apr,2,0.5,2:45,N,27525
8,Wednesday Apr 15,2015,CHC,,CIN,W,5,0,3-May,1,up 0.5,2:39,N,29205
9,Friday Apr 17,2015,CHC,,SDP,L,4,5,4-May,2,1,2:57,D,32138
10,Saturday Apr 18,2015,CHC,,SDP,W-wo,7,6,4-Jun,2,1,3:49,D,33958
11,Sunday Apr 19,2015,CHC,,SDP,L,2,5,5-Jun,2,2,2:51,D,29113
12,Monday Apr 20,2015,CHC,@,PIT,W,5,2,5-Jul,2,1.5,3:13,N,11777
13,Tuesday Apr 21,2015,CHC,@,PIT,W,9,8,5-Aug,2,0.5,3:18,N,13680
14,Wednesday Apr 22,2015,CHC,@,PIT,L,3,4,6-Aug,2,1.5,3:04,N,15101
15,Thursday Apr 23,2015,CHC,@,PIT,L,4,5,7-Aug,2,2.5,3:06,D,22224
16,Friday Apr 24,2015,CHC,@,CIN,W,7,3,7-Sep,2,2.5,3:48,N,39891
17,Sunday Apr 26,2015,CHC,@,CIN,W,5,2,7-Oct,2,2,2:46,D,38954
18,Monday Apr 27,2015,CHC,,PIT,W,4,0,7-Nov,2,1,2:20,N,29159
19,Tuesday Apr 28,2015,CHC,,PIT,W,6,2,7-Dec,2,1,2:51,N,29915
20,Wednesday Apr 29,2015,CHC,,PIT,L,1,8,8-Dec,2,2,3:04,N,30634
21,Friday May 1,2015,CHC,,MIL,W,1,0,13-8,2,2.5,2:39,D,31128
22,Saturday May 2,2015,CHC,,MIL,L,1,6,13-9,2,3.5,3:05,D,34878
23,Sunday May 3,2015,CHC,,MIL,L,3,5,13-10,2,4.5,3:01,D,33398
24,Monday May 4,2015,CHC,@,STL,L,9,10,13-11,2,5.5,3:39,N,41981
25,Tuesday May 5,2015,CHC,@,STL,L,4,7,13-12,2,6.5,3:13,N,41613
26,Wednesday May 6,2015,CHC,@,STL,W,6,5,14-12,2,5.5,2:56,N,42207
27,Thursday May 7,2015,CHC,@,STL,L,1,5,14-13,2,6.5,2:53,D,44472
28,Friday May 8,2015,CHC,@,MIL,W,7,6,15-13,2,6.5,3:03,N,38283
29,Saturday May 9,2015,CHC,@,MIL,L,4,12,15-14,2,6.5,3:03,N,39600
30,Sunday May 10,2015,CHC,@,MIL,L-wo,2,3,15-15,2,6.5,3:26,D,41467
31,Monday May 11,2015,CHC,,NYM,W,4,3,16-15,2,6,2:56,N,32980
32,Tuesday May 12,2015,CHC,,NYM,W,6,1,17-15,2,6,2:55,N,31542
33,Wednesday May 13,2015,CHC,,NYM,W-wo,2,1,18-15,2,5,2:37,N,33709
34,Thursday May 14,2015,CHC,,NYM,W,6,5,19-15,2,5,2:49,D,31496
35,Friday May 15,2015,CHC,,PIT,W-wo,11,10,20-15,2,4,5:01,D,33617
36,Saturday May 16,2015,CHC,,PIT,W,4,1,21-15,2,3,3:05,D,38883
37,Sunday May 17,2015,CHC,,PIT,L,0,3,21-16,2,4,3:07,D,36289
38,Tuesday May 19,2015,CHC,@,SDP,L,3,4,21-17,2,4.5,2:47,N,25917
39,Wednesday May 20,2015,CHC,@,SDP,W,3,2,22-17,2,4.5,2:57,N,25028
40,Thursday May 21,2015,CHC,@,SDP,W,3,0,23-17,2,3.5,2:08,N,30021
41,Friday May 22,2015,CHC,@,ARI,L-wo,4,5,23-18,2,3.5,4:27,N,34498
42,Saturday May 23,2015,CHC,@,ARI,W,9,6,24-18,2,2.5,3:14,N,30502
43,Sunday May 24,2015,CHC,@,ARI,L,3,4,24-19,2,3.5,2:31,D,39660
44,Monday May 25,2015,CHC,,WSN,L,1,2,24-20,2,4.5,2:39,D,38463
45,Tuesday May 26,2015,CHC,,WSN,W-wo,3,2,25-20,2,4.5,2:33,N,30440
46,Wednesday May 27,2015,CHC,,WSN,L,0,3,25-21,2,5.5,3:00,N,34215
47,Friday May 29,2015,CHC,,KCR,L,4,8,25-22,2,6.5,3:09,D,34273
48,Sunday May 31,2015,CHC,,KCR,W-wo,2,1,26-22,2,6,3:39,D,37766
49,Monday Jun 1,2015,CHC,@,MIA,W,5,1,27-22,2,5,2:45,N,20964
50,Tuesday Jun 2,2015,CHC,@,MIA,L,2,5,27-23,2,6,2:33,N,23789
51,Wednesday Jun 3,2015,CHC,@,MIA,L,3,7,27-24,3,7,2:56,N,22962
52,Thursday Jun 4,2015,CHC,@,WSN,W,2,1,28-24,3,7,3:16,N,35465
53,Friday Jun 5,2015,CHC,@,WSN,L,5,7,28-25,3,8,2:58,N,36124
54,Saturday Jun 6,2015,CHC,@,WSN,W,4,2,29-25,3,7,2:52,D,38214
55,Sunday Jun 7,2015,CHC,@,WSN,W,6,3,30-25,3,7,3:12,D,40939
56,Tuesday Jun 9,2015,CHC,@,DET,L,0,6,30-26,2,6.5,2:53,N,33301
57,Wednesday Jun 10,2015,CHC,@,DET,W,12,3,31-26,2,6.5,3:18,N,33397
58,Thursday Jun 11,2015,CHC,,CIN,W,6,3,32-26,2,6,2:58,N,35031
59,Friday Jun 12,2015,CHC,,CIN,L,4,5,32-27,3,7,3:21,D,40016
60,Saturday Jun 13,2015,CHC,,CIN,W-wo,4,3,33-27,3,7,2:39,N,40693
61,Sunday Jun 14,2015,CHC,,CIN,W-wo,2,1,34-27,3,6.5,3:54,N,33201
62,Tuesday Jun 16,2015,CHC,,CLE,L,0,6,34-28,3,8,3:08,N,35914
63,Wednesday Jun 17,2015,CHC,@,CLE,W,17,0,35-28,3,7,3:06,N,15572
64,Thursday Jun 18,2015,CHC,@,CLE,L,3,4,35-29,3,7,3:01,N,15891
65,Friday Jun 19,2015,CHC,@,MIN,L,2,7,35-30,3,8,2:18,N,36817
66,Saturday Jun 20,2015,CHC,@,MIN,W,4,1,36-30,3,8,3:17,D,40066
67,Sunday Jun 21,2015,CHC,@,MIN,W,8,0,37-30,3,7,2:59,D,40273
68,Monday Jun 22,2015,CHC,,LAD,W,4,2,38-30,3,6.5,2:40,N,35147
69,Tuesday Jun 23,2015,CHC,,LAD,W-wo,1,0,39-30,3,6.5,3:10,N,36799
70,Wednesday Jun 24,2015,CHC,,LAD,L,2,5,39-31,3,7.5,3:12,N,36653
71,Thursday Jun 25,2015,CHC,,LAD,L,0,4,39-32,3,8.5,2:57,D,41498
72,Friday Jun 26,2015,CHC,@,STL,L-wo,2,3,39-33,3,9.5,3:25,N,45558
73,Saturday Jun 27,2015,CHC,@,STL,L,1,8,39-34,3,10.5,3:03,N,46407
74,Sunday Jun 28,2015,CHC,@,STL,L,1,4,39-35,3,11.5,2:28,N,45384
75,Tuesday Jun 30,2015,CHC,@,NYM,W,1,0,40-35,3,10.5,2:22,N,27084
76,Wednesday Jul 1,2015,CHC,@,NYM,W,2,0,41-35,3,9.5,3:40,N,23906
77,Thursday Jul 2,2015,CHC,@,NYM,W,6,1,42-35,3,8.5,2:41,D,27207
78,Friday Jul 3,2015,CHC,,MIA,L,1,2,42-36,3,8.5,2:50,D,41212
79,Saturday Jul 4,2015,CHC,,MIA,W,7,2,43-36,3,8.5,2:40,N,37898
80,Sunday Jul 5,2015,CHC,,MIA,W,2,0,44-36,3,8.5,2:18,D,37764
81,Monday Jul 6,2015,CHC,,STL,L,0,6,44-37,3,9.5,2:43,N,37609
82,Tuesday Jul 7 (1),2015,CHC,,STL,W,7,4,45-37,3,7.5,3:10,D,34368
83,Tuesday Jul 7 (2),2015,CHC,,STL,W,5,3,46-37,3,7.5,3:02,N,35703
84,Wednesday Jul 8,2015,CHC,,STL,L,5,6,46-38,3,8.5,3:11,N,37993
85,Friday Jul 10,2015,CHC,,CHW,L,0,1,46-39,3,9,2:40,D,41580
86,Saturday Jul 11,2015,CHC,,CHW,L,1,5,46-40,3,9,2:45,D,41596
87,Sunday Jul 12,2015,CHC,,CHW,W,3,1,47-40,3,8,2:18,D,41688
88,Friday Jul 17,2015,CHC,@,ATL,L,2,4,47-41,3,9,3:04,N,42532
89,Saturday Jul 18,2015,CHC,@,ATL,W,4,0,48-41,3,9,3:06,N,45758
90,Sunday Jul 19,2015,CHC,@,ATL,W,4,1,49-41,3,8,3:18,N,31690
91,Monday Jul 20,2015,CHC,@,CIN,L,4,5,49-42,3,8.5,3:09,N,34900
92,Tuesday Jul 21,2015,CHC,@,CIN,W,5,4,50-42,3,8.5,4:51,N,36845
93,Wednesday Jul 22 (1),2015,CHC,@,CIN,L,1,9,50-43,3,9,2:42,D,35093
94,Wednesday Jul 22 (2),2015,CHC,@,CIN,W,6,5,51-43,3,9,3:39,N,39183
95,Friday Jul 24,2015,CHC,,PHI,L,3,5,51-44,3,10.5,3:13,D,41230
96,Saturday Jul 25,2015,CHC,,PHI,L,0,5,51-45,3,11.5,2:38,D,41683
97,Sunday Jul 26,2015,CHC,,PHI,L,5,11,51-46,3,11.5,3:01,D,41123
98,Monday Jul 27,2015,CHC,,COL,W-wo,9,8,52-46,3,11.5,3:35,N,35070
