Gm#,Date,Season,Tm,,Opp,W/L,R,RA,W-L,Rank,GB,Time,D/N,Attendance
1,Monday Apr 6,2015,ARI,,SFG,L,4,5,0-1,4,1,3:18,N,49043
2,Tuesday Apr 7,2015,ARI,,SFG,W,7,6,1-Jan,2,1,3:10,N,22626
3,Wednesday Apr 8,2015,ARI,,SFG,L,2,5,2-Jan,4,2,3:08,N,21642
4,Friday Apr 10,2015,ARI,,LAD,W-wo,4,3,2-Feb,3,2,3:01,N,27404
5,Saturday Apr 11,2015,ARI,,LAD,W,6,0,2-Mar,2,1,2:36,N,37636
6,Sunday Apr 12,2015,ARI,,LAD,L,4,7,3-Mar,3,1,3:27,D,29678
7,Monday Apr 13,2015,ARI,@,SDP,W,8,4,3-Apr,2,1,3:02,N,19538
8,Tuesday Apr 14,2015,ARI,@,SDP,L,1,5,4-Apr,4,2,2:31,N,20102
9,Wednesday Apr 15,2015,ARI,@,SDP,L,2,3,5-Apr,4,3,2:41,N,23104
10,Thursday Apr 16,2015,ARI,@,SFG,W,7,6,5-May,4,2.5,4:20,N,41545
11,Friday Apr 17,2015,ARI,@,SFG,W,9,0,5-Jun,4,1.5,3:00,N,41550
12,Saturday Apr 18,2015,ARI,@,SFG,L,1,4,6-Jun,4,2.5,2:38,N,41756
13,Sunday Apr 19,2015,ARI,@,SFG,W,5,1,6-Jul,4,2.5,2:45,D,41528
14,Tuesday Apr 21,2015,ARI,,TEX,L,1,7,7-Jul,3,2.5,3:04,N,18345
15,Wednesday Apr 22,2015,ARI,,TEX,W,8,5,7-Aug,3,1.5,2:59,N,17886
16,Friday Apr 24,2015,ARI,,PIT,L,1,4,8-Aug,4,2,2:41,N,24427
17,Saturday Apr 25,2015,ARI,,PIT,L,1,2,9-Aug,4,3,2:52,N,38859
18,Sunday Apr 26,2015,ARI,,PIT,L,0,8,10-Aug,4,3,3:18,D,32353
19,Monday Apr 27,2015,ARI,,COL,L,4,5,11-Aug,4,4,3:29,N,17444
20,Tuesday Apr 28,2015,ARI,,COL,W,12,5,11-Sep,4,3,3:10,N,18792
21,Wednesday Apr 29,2015,ARI,,COL,W,9,1,11-Oct,3,3,2:34,N,19633
22,Friday May 1,2015,ARI,@,LAD,L,0,8,12-Oct,4,4,2:47,N,50164
23,Saturday May 2,2015,ARI,@,LAD,L,4,6,13-Oct,5,5,3:14,N,43617
24,Sunday May 3,2015,ARI,@,LAD,L-wo,0,1,14-Oct,5,6,4:02,D,48136
25,Wednesday May 6 (1),2015,ARI,@,COL,W,13,7,14-Nov,4,4.5,3:29,D,
26,Wednesday May 6 (2),2015,ARI,@,COL,W,5,1,14-Dec,4,4.5,2:31,N,22621
27,Thursday May 7,2015,ARI,,SDP,W,11,0,13-14,3,4.5,2:52,N,16929
28,Friday May 8,2015,ARI,,SDP,L,5,6,13-15,4,5.5,3:26,N,28677
29,Saturday May 9,2015,ARI,,SDP,L,4,6,13-16,4,6,4:17,N,27340
30,Sunday May 10,2015,ARI,,SDP,W,2,1,14-16,4,6,2:47,D,24881
31,Monday May 11,2015,ARI,,WSN,L,1,11,14-17,4,7,2:42,N,16406
32,Tuesday May 12,2015,ARI,,WSN,W,14,6,15-17,4,7,2:59,N,19053
33,Wednesday May 13,2015,ARI,,WSN,L,6,9,15-18,4,7,3:38,D,19026
34,Friday May 15,2015,ARI,@,PHI,L,3,4,15-19,4,7.5,3:05,N,21383
35,Saturday May 16,2015,ARI,@,PHI,L,5,7,15-20,4,7.5,3:14,N,33649
36,Sunday May 17,2015,ARI,@,PHI,L,0,6,15-21,4,8.5,2:52,D,22123
37,Monday May 18,2015,ARI,@,MIA,W,3,2,16-21,4,8,3:11,N,17526
38,Tuesday May 19,2015,ARI,@,MIA,W,4,2,17-21,4,7,2:46,N,16034
39,Wednesday May 20,2015,ARI,@,MIA,W,6,1,18-21,4,6,2:36,N,17158
40,Thursday May 21,2015,ARI,@,MIA,W,7,6,19-21,3,5,3:02,D,20692
41,Friday May 22,2015,ARI,,CHC,W-wo,5,4,20-21,3,5,4:27,N,34498
