Date,Month,Day,Season,Gm#,Tm,Opp,Win/Loss,Season Wins,Season Losses,Season Win %,Day/ Night Game,Attendance,Temperature (F),Feels Like (F),Wind Chill (F),Wind Gust (mph),Humidity (%),Cloud Cover (%),Rain Fall (in),Snow Fall (cm)
2015-04-05,April,Sunday,2015,1,CHC,STL,L,0,1,0.000,Night,35055,55,42,42,24,61,31,0.0,0.0
2015-04-08,April,Wednesday,2015,2,CHC,STL,W,1,1,0.500,Day,26814,42,35,35,18,93,96,0.2,0.0
2015-04-13,April,Monday,2015,6,CHC,CIN,W,4,2,0.667,Night,26390,45,37,37,22,80,62,0.1,0.0
2015-04-14,April,Tuesday,2015,7,CHC,CIN,L,4,3,0.571,Night,27525,47,37,37,22,85,60,0.1,0.0
2015-04-15,April,Wednesday,2015,8,CHC,CIN,W,5,3,0.625,Night,29205,51,41,41,27,80,57,0.2,0.0
2015-04-17,April,Friday,2015,9,CHC,SDP,L,5,4,0.556,Day,32138,61,53,53,11,68,23,0.0,0.0
2015-04-18,April,Saturday,2015,10,CHC,SDP,W,6,4,0.600,Day,33958,57,46,46,24,73,17,0.0,0.0
2015-04-19,April,Sunday,2015,11,CHC,SDP,L,6,5,0.545,Day,29113,55,45,45,26,78,69,0.4,0.0
2015-04-27,April,Monday,2015,18,CHC,PIT,W,11,7,0.611,Night,29159,44,36,36,19,81,16,0.0,0.0
2015-04-28,April,Tuesday,2015,19,CHC,PIT,W,12,7,0.632,Night,29915,46,38,38,18,82,64,0.0,0.0
2015-04-29,April,Wednesday,2015,20,CHC,PIT,L,12,8,0.600,Night,30634,51,41,41,14,76,23,0.1,0.0
2015-05-01,May,Friday,2015,21,CHC,MIL,W,13,8,0.619,Day,31128,53,44,44,13,72,10,0.0,0.0
2015-05-02,May,Saturday,2015,22,CHC,MIL,L,13,9,0.591,Day,34878,62,54,54,15,58,15,0.0,0.0
2015-05-03,May,Sunday,2015,23,CHC,MIL,L,13,10,0.565,Day,33398,68,58,58,23,71,31,0.1,0.0
2015-05-11,May,Monday,2015,31,CHC,NYM,W,16,15,0.516,Night,32980,61,54,54,26,87,59,0.2,0.0
2015-05-12,May,Tuesday,2015,32,CHC,NYM,W,17,15,0.531,Night,31542,50,43,43,25,75,52,0.0,0.0
2015-05-13,May,Wednesday,2015,33,CHC,NYM,W,18,15,0.545,Night,33709,46,39,39,14,79,11,0.0,0.0
2015-05-14,May,Thursday,2015,34,CHC,NYM,W,19,15,0.559,Day,31496,57,46,46,23,80,50,0.0,0.0
2015-05-15,May,Friday,2015,35,CHC,PIT,W,20,15,0.571,Day,33617,62,57,57,17,90,61,0.0,0.0
2015-05-16,May,Saturday,2015,36,CHC,PIT,W,21,15,0.583,Day,38883,66,61,61,16,89,49,0.1,0.0
2015-05-17,May,Sunday,2015,37,CHC,PIT,L,21,16,0.568,Day,36289,68,63,63,33,94,72,0.2,0.0
2015-05-25,May,Monday,2015,44,CHC,WSN,L,24,20,0.545,Day,38463,68,64,64,33,84,53,0.0,0.0
2015-05-26,May,Tuesday,2015,45,CHC,WSN,W,25,20,0.556,Night,30440,64,62,62,32,92,57,0.2,0.0
2015-05-27,May,Wednesday,2015,46,CHC,WSN,L,25,21,0.543,Night,34215,63,60,60,24,84,32,0.1,0.0
2015-05-29,May,Friday,2015,47,CHC,KCR,L,25,22,0.532,Day,34273,70,65,65,23,82,38,0.3,0.0
2015-05-31,May,Sunday,2015,48,CHC,KCR,W,26,22,0.542,Day,37766,50,39,39,28,80,52,0.0,0.0
2015-06-11,June,Thursday,2015,58,CHC,CIN,W,32,26,0.552,Night,35031,62,60,60,18,86,34,0.6,0.0
2015-06-12,June,Friday,2015,59,CHC,CIN,L,32,27,0.542,Day,40016,61,55,55,15,94,88,0.3,0.0
2015-06-13,June,Saturday,2015,60,CHC,CIN,W,33,27,0.550,Night,40693,69,61,61,7,91,67,0.7,0.0
2015-06-14,June,Sunday,2015,61,CHC,CIN,W,34,27,0.557,Night,33201,71,65,65,14,92,57,0.8,0.0
2015-06-16,June,Tuesday,2015,62,CHC,CLE,L,34,28,0.548,Night,35914,61,58,58,19,83,38,0.0,0.0
2015-06-22,June,Monday,2015,68,CHC,LAD,W,38,30,0.559,Night,35147,76,69,69,27,88,59,0.6,0.0
2015-06-23,June,Tuesday,2015,69,CHC,LAD,W,39,30,0.565,Night,36799,70,66,66,17,79,16,0.0,0.0
